１８５４年,1405,1405,7447,数詞,時間,*,*,*,*,*
１８９６年,1405,1405,7447,数詞,時間,*,*,*,*,*
18世紀末,1405,1405,2042,数詞,時間,*,*,*,*,18世紀末,ジュウハッセイキマツ,ジューハッセイキマツ
18日,1405,1405,2082,数詞,時間,*,*,*,*,18日,ジュウハチニチ,ジューハチニチ
１８日,1405,1405,2096,数詞,時間,*,*,*,*,１８日,ジュウハチニチ,ジューハチニチ
１９３０年,1405,1405,2042,数詞,時間,*,*,*,*,１９３０年,センキュウヒャクサンジュウネン,センキューヒャクサンジューネン
１９４６年,1405,1405,7447,数詞,時間,*,*,*,*,*
１９６３年,1405,1405,2042,数詞,時間,*,*,*,*,１９６３年,センキュウヒャクロクジュウサンネン,センキューヒャクロクジューサンネン
1964年,1405,1405,2042,数詞,時間,*,*,*,*,1964年,センキュウヒャクロクジュウヨネン,センキューヒャクロクジューヨネン
１９６５年,1405,1405,2042,数詞,時間,*,*,*,*,１９６５年,センキュウヒャクロクジュウゴネン,センキューヒャクロクジューゴネン
1972年,1405,1405,2042,数詞,時間,*,*,*,*,1972年,センキュウヒャクナナジュウニネン,センキューヒャクナナジューニネン
1980年代,1405,1405,2042,数詞,時間,*,*,*,*,1980年代,センキュウヒャクハチジュウネンダイ,センキューヒャクハチジューネンダイ
1988年,1405,1405,2042,数詞,時間,*,*,*,*,1988年,センキュウヒャクハチジュウハチネン,センキューヒャクハチジューハチネン
1990年代,1405,1405,2042,数詞,時間,*,*,*,*,1990年代,センキュウヒャクキュウジュウネンネンダイ,センキュウヒャクキュウジュウネンネンダイ
１９９０年代,1000,1000,1000,数詞,時間,*,*,*,*,１９９０年代,センキュウヒャクキュウジュウネンダイ,センキューヒャクキュージューネンダイ
１９９８年,1405,1405,7447,数詞,時間,*,*,*,*,*
1999年,1405,1405,2042,数詞,時間,*,*,*,*,1999年,センキュウヒャクキュウジュウキュウネン,センキューヒャクキュージューキューネン
19日,1405,1405,2042,数詞,時間,*,*,*,*,19日,ジュウクニチ,ジュークニチ
1カ月,1405,1405,2042,数詞,時間,*,*,*,*,1カ月,イッカゲツ,イッカゲツ
1月1日,1405,1405,2042,数詞,時間,*,*,*,*,1月1日,イチガツツイタチ,イチガツツイタチ
１月５日,1405,1405,2042,数詞,時間,*,*,*,*,１月５日,イチガツイツカ,イチガツイツカ
１月下旬,1405,1405,2042,数詞,時間,*,*,*,*,１月下旬,イチガツゲジュン,イチガツゲジュン
１月上旬,1405,1405,2042,数詞,時間,*,*,*,*,１月上旬,イチガツジョウジュン,イチガツジョージュン
1日,1405,1405,2078,数詞,時間,*,*,*,*,1日,イチニチ,イチニチ
1年,1405,1405,1707,数詞,時間,*,*,*,*,1年,イチネン,イチネン
1年間,1405,1405,2042,数詞,時間,*,*,*,*,1年間,イチネンカン,イチネンカン
2002年,1405,1405,2042,数詞,時間,*,*,*,*,2002年,ニセンニネン,ニセンニネン
２００５年,1405,1405,2042,数詞,時間,*,*,*,*,２００５年,ニセンゴネン,ニセンゴネン
2008年,1405,1405,2042,数詞,時間,*,*,*,*,2008年,ニセンハチネン,ニセンハチネン
2013年,1405,1405,7447,数詞,時間,*,*,*,*,*
２０１３年,1405,1405,2116,数詞,時間,*,*,*,*,２０１３年,ニセンジュウサンネン,ニセンジューサンネン
２０１３年１２月,1405,1405,1968,数詞,時間,*,*,*,*,２０１３年１２月,ニセンジュウサンネンジュウニガツ,ニセンジューサンネンジューニガツ
2013年4月,1405,1405,2041,数詞,時間,*,*,*,*,2013年4月,ニセンジュウサンネンシガツ,ニセンジューサンネンシガツ
2014年,1405,1405,2199,数詞,時間,*,*,*,*,2014年,ニセンジュウヨネン,ニセンジューヨネン
２０１４年,1405,1405,2065,数詞,時間,*,*,*,*,２０１４年,ニセンジュウヨネン,ニセンジューヨネン
2014年8月29日,1405,1405,1885,数詞,時間,*,*,*,*,2014年8月29日,ニセンジュウヨネンハチガツニジュウクニチ,ニセンジューヨネンハチガツニジュークニチ
2014年度,1405,1405,2042,数詞,時間,*,*,*,*,2014年度,ニセンジュウヨネンド,ニセンジューヨネンド
２０１４年度,1405,1405,2041,数詞,時間,*,*,*,*,２０１４年度,ニセンジュウヨネンド,ニセンジューヨネンド
2015年,1405,1405,2042,数詞,時間,*,*,*,*,2015年,ニセンジュウゴネン,ニセンジューゴネン
２０１５年,1405,1405,7447,数詞,時間,*,*,*,*,*
2015年度,1405,1405,2042,数詞,時間,*,*,*,*,2015年度,ニセンジュウゴネンド,ニセンジューゴネンド
2016年,1405,1405,2042,数詞,時間,*,*,*,*,2016年,ニセンジュウロクネン,ニセンジューロクネン
2017年,1405,1405,7447,数詞,時間,*,*,*,*,*
2017年４月,1405,1405,7447,数詞,時間,*,*,*,*,*
2018年,1405,1405,2042,数詞,時間,*,*,*,*,2018年,ニセンジュウハチネン,ニセンジューハチネン
2020年,1405,1405,2042,数詞,時間,*,*,*,*,2020年,ニセンニジュウネン,ニセンニジューネン
2022年,1405,1405,2042,数詞,時間,*,*,*,*,2022年,ニセンニジュウニネン,ニセンニジューニネン
2024年,1405,1405,2042,数詞,時間,*,*,*,*,2024年,ニセンニジュウヨネン,ニセンニジューヨネン
２０２５年,1405,1405,2042,数詞,時間,*,*,*,*,２０２５年,ニセンニジュウゴネン,ニセンニジューゴネン
2026年,1405,1405,2042,数詞,時間,*,*,*,*,2026年,ニセンニジュウロクネン,ニセンニジューロクネン
２０４５年,1000,1000,1000,数詞,時間,*,*,*,*,２０４５年,ニセンヨンジュウゴネン,ニセンヨンジューゴネン
２０６０年,1405,1405,2041,数詞,時間,*,*,*,*,２０６０年,ニセンロクジュウネン,ニセンロクジューネン
２０年,1405,1405,2069,数詞,時間,*,*,*,*,２０年,ニジュウネン,ニジューネン
20年度,1405,1405,7447,数詞,時間,*,*,*,*,*
21世紀,1405,1405,2048,数詞,時間,*,*,*,*,21世紀,ニジュウイッセイキ,ニジューイッセイキ
21日,1405,1405,2042,数詞,時間,*,*,*,*,21日,ニジュウイチニチ,ニジューイチニチ
23日,1405,1405,2042,数詞,時間,*,*,*,*,23日,ニジュウサンニチ,ニジューサンニチ
24日,1405,1405,2042,数詞,時間,*,*,*,*,24日,ニジュウヨッカ,ニジューヨッカ
25日,1406,1406,2042,数詞,時間,*,*,*,,25日,ニジュウゴニチ,ニジューゴニチ
27日,1405,1405,2254,数詞,時間,*,*,*,*,27日,ニジュウシチニチ,ニジューシチニチ
２７日,1405,1405,2038,数詞,時間,*,*,*,*,２７日,ニナノカ,ニナノカ
２８日,1405,1405,2041,数詞,時間,*,*,*,*,２８日,ニジュウハチニチ,ニジューハチニチ
29日,1405,1405,2410,数詞,時間,*,*,*,*,29日,ニジュウクニチ,ニジュークニチ
２カ月,1405,1405,2041,数詞,時間,*,*,*,*,２カ月,ニカゲツ,ニカゲツ
２月中旬,1405,1405,2042,数詞,時間,*,*,*,*,２月中旬,ニガツチュウジュン,ニガツチュージュン
2時9分,1405,1405,7447,数詞,時間,*,*,*,*,*
２週間,1405,1405,2042,数詞,時間,*,*,*,*,２週間,ニシュウカン,ニシューカン
2年,1405,1405,2042,数詞,時間,*,*,*,*,2年,ニネン,ニネン
２年,1405,1405,2042,数詞,時間,*,*,*,*,２年,ニネン,ニネン
38年,1405,1405,2042,数詞,時間,*,*,*,*,38年,サンジュウハチネン,サンジューハチネン
3カ月,1405,1405,2042,数詞,時間,*,*,*,*,3カ月,サンカゲツ,サンカゲツ
３カ月,1405,1405,2040,数詞,時間,*,*,*,*,３カ月,サンカゲツ,サンカゲツ
３月１１日,1000,1000,1000,数詞,時間,*,*,*,*,３月１１日,サンガツジュウイチニチ,サンガツジュ－イチニチ
３月１２日,1405,1405,2039,数詞,時間,*,*,*,*,３月１２日,サンガツジュウニニチ,サンガツジュ－ニニチ
３月７日,1405,1405,2038,数詞,時間,*,*,*,*,３月７日,サンガツナノカ,サンガツナノカ
3日,1405,1405,2088,数詞,時間,*,*,*,*,3日,ミッカ,ミッカ
3年,1405,1405,2063,数詞,時間,*,*,*,*,3年,サンネン,サンネン
３年,1405,1405,2191,数詞,時間,*,*,*,*,３年,サンネン,サンネン
40年,1405,1405,2040,数詞,時間,*,*,*,*,40年,ヨンジュウネン,ヨンジューネン
４０年,1405,1405,2028,数詞,時間,*,*,*,*,４０年,ヨンジュウネン,ヨンジューネン
40年弱,1405,1405,2042,数詞,時間,*,*,*,*,40年弱,ヨンジュウネンジャク,ヨンジューネンジャク
4月,1405,1405,1957,数詞,時間,*,*,*,*,4月,シガツ,シガツ
4月14日,1000,1000,1000,数詞,時間,*,*,*,*,4月14日,シガツジュウヨッカ,シガツジューヨッカ
４月１日,1405,1405,2042,数詞,時間,*,*,*,*,４月１日,シガツツイタチ,シガツツイタチ
４月９日,1405,1405,2042,数詞,時間,*,*,*,*,４月９日,シガツココノカ,シガツココノカ
4日,1405,1405,2156,数詞,時間,*,*,*,*,4日,ヨッカ,ヨッカ
4年,1405,1405,2069,数詞,時間,*,*,*,*,4年,ヨネン,ヨネン
４年,1405,1405,2229,数詞,時間,*,*,*,*,４年,ヨネン,ヨネン
４年弱,1405,1405,2042,数詞,時間,*,*,*,*,４年弱,ヨネンジャク,ヨネンジャク
５０年,1405,1405,1997,数詞,時間,*,*,*,*,５０年,ゴジュウネン,ゴジューネン
５５年,1405,1405,2085,数詞,時間,*,*,*,*,５５年,ゴジュウゴネン,ゴジューゴネン
5年,1405,1405,2078,数詞,時間,*,*,*,*,5年,ゴネン,ゴネン
５年,1405,1405,1868,数詞,時間,*,*,*,*,５年,ゴネン,ゴネン
５年間,1405,1405,1736,数詞,時間,*,*,*,*,５年間,ゴネンカン,ゴネンカン
６０年,1405,1405,2002,数詞,時間,*,*,*,*,６０年,ロクジュウネン,ロクジューネン
６５年,1405,1405,2042,数詞,時間,*,*,*,*,６５年,ロクジュウゴネン,ロクジューゴネン
69年間,1405,1405,2042,数詞,時間,*,*,*,*,69年間,ロクジュウキュウネンカン,ロクジューキューネンカン
6月8日,1405,1405,2042,数詞,時間,*,*,*,*,6月8日,ロクガツヨウカ,ロクガツヨーカ
6日,1405,1405,2073,数詞,時間,*,*,*,*,6日,ムイカ,ムイカ
６日,1405,1405,2088,数詞,時間,*,*,*,*,６日,ムイカ,ムイカ
6年,1405,1405,2043,数詞,時間,*,*,*,*,6年,ロクネン,ロクネン
72年,1405,1405,2042,数詞,時間,*,*,*,*,72年,ナナジュウニネン,ナナジューニネン
7月,1405,1405,1812,数詞,時間,*,*,*,*,7月,シチガツ,シチガツ
７月９日,1405,1405,2042,数詞,時間,*,*,*,*,７月９日,シチガツココノカ,シチガツココノカ
７日,1405,1405,2396,数詞,時間,*,*,*,*,７日,ナノカ,ナノカ
